"Observed_Outcome","Residuals","Standard_Errors","Z_Values"
1,1.05006439724697,0.484583668397336,2.16694136787534
2,3.04097036368707,5.77887361238826,0.526221988514873
3,1.07186842040234,0.502573814999072,2.13275819076311
4,0.271958226688723,0.65465422786917,0.415422699665315
5,0.307700267687372,0.386991122417969,0.79510937037734
6,0.932522843233303,0.669334189176752,1.39320963774502
7,1.84765381315235,1.66229811749876,1.1115056882411
8,-1.44925671016822,1.93273069492021,-0.749849274902756
9,-1.68266210401465,2.84557283873199,-0.591326316132697
10,0.0418302201858754,0.854107422307589,0.048975361990018
11,-0.36005095016756,3.09097003528738,-0.116484775347906
12,-0.090070678200986,0.647893089895653,-0.139020896511633
13,-0.0672635250984996,0.599497651779008,-0.112199814125869
14,-0.0608575098981298,0.689036556314836,-0.0883226141492595
15,-2.99114551464135,6.53541320751253,-0.457682692687739
16,-0.42764793901154,0.308537192671881,-1.38604988043153
17,-0.0137865762131981,0.340660769942897,-0.040470102311778
18,0.106581657874699,0.335130407666163,0.318030400813014
19,-0.603154068668217,0.657791448598492,-0.91693814194957
20,-0.740261474020094,0.950382336802396,-0.778909124627397
21,-0.172195975062427,2.18980836622657,-0.0786351800085373
22,-0.393881361814929,0.548042954155527,-0.718705274519688
23,-0.232208071924698,0.789136973710413,-0.294255724494681
24,-0.29917757625739,2.23408849969557,-0.133914827589936
25,-0.00230500108170784,0.359848142649404,-0.00640548278153425
26,-0.0753729055927666,2.83938307218334,-0.0265455219238201
27,-0.05617018558387,0.263520960834921,-0.213152628944219
28,0.0610892359193127,0.27364883116967,0.223239528041089
29,-0.0643429167847509,0.18969534793752,-0.33919079979728
30,-0.0408402616444115,0.183567193750035,-0.2224812659065
31,-0.0128721330778001,0.179883382858968,-0.0715582110655105
32,-0.0550711367029292,0.271246465863046,-0.203029877376301
33,0.0429813940446317,0.194564172449017,0.220911144655341
34,-0.137551419689591,0.268628318387912,-0.512051076800323
35,0.0111256929050455,0.219061163142792,0.0507880664259659
36,-0.0417591143152314,0.202988335237397,-0.205721743894267
37,-0.0657764029930818,0.195791151337182,-0.3359518678135
38,0.0307727661367148,0.276105392323025,0.111452970468294
39,0.0617650104636501,0.193502684710242,0.319194591827702
40,-0.137562845431633,0.275247479049145,-0.499778766028485
41,-0.0313421997532078,0.191341510181135,-0.163802406093364
42,0.0327150202011553,0.209878450686456,0.155876032504305
43,-0.35136331019886,0.217285238042638,-1.61706019867724
44,-0.560190934629999,0.27584902888704,-2.03078813396656
45,0.0398163503020768,0.213293611320684,0.186673900148905
46,-0.222647421361651,0.257671878914589,-0.864073418874913
47,-0.073139305290819,0.185476452275548,-0.394332026483673
48,-0.0060687335415103,0.191906613457261,-0.0316233684299882
49,0.79534491721846,0.403553943351703,1.9708515560838
50,0.868585301940207,0.424426905184669,2.04648972845462
51,1.06426991522793,0.442797235238362,2.4035152673323
52,0.954690719570988,0.418271021065229,2.28246919219896
53,0.953208929729024,0.5322687054354,1.79084158056839
54,0.531888720410623,1.39565988844087,0.381101961026343
55,-0.848738110388689,1.77263485391247,-0.478800305948739
56,1.59351601217002,0.844231584907352,1.88753422716931
57,0.729787894386583,0.379188175755076,1.92460614820955
58,0.863675174601732,0.395507079830493,2.18371609168637
59,0.944852904695694,0.416405622517413,2.26906855623974
60,0.677488013792822,0.47362556367266,1.4304295750832
61,0.499530680030596,0.457180434505478,1.09263354756405
62,-0.0386040333139792,0.478914992491166,-0.0806072766967955
63,-1.11421448128542,0.668688254250203,-1.6662689589707
64,0.90059352970345,0.499890881883407,1.80158022948997
65,-0.459613694857308,0.336963033230414,-1.36398847805666
66,0.660301472685256,0.518730618418781,1.2729178676555
67,-0.292951394546339,0.383683328722147,-0.763523907911274
68,-1.69066961583448,0.832553281107275,-2.03070440559184
69,-1.1432947143217,1.02456406298798,-1.11588406779314
70,-1.58902502640691,0.540533636109706,-2.93973384865249
71,-1.68481838471121,0.924751357898366,-1.82191501566454
72,-2.29206776885719,0.49297400308676,-4.64946985947614
73,-0.936893194191646,0.539460176917285,-1.73672355120904
74,0.0648450621230353,0.487917005063742,0.132901828487335
75,0.0514660587162949,0.388348814624112,0.132525340050566
76,-0.861775403751871,0.396237982963833,-2.17489347514302
77,-1.43707724550606,0.520644753573112,-2.76018770119855
78,-1.71872901000806,0.510127577245783,-3.36921406854263
79,-2.24323306066107,1.2896230901789,-1.73944858598172
80,-2.4610879801366,0.601222883090222,-4.09347024099758
81,-3.13615362187031,0.401858807730499,-7.80411816673066
82,-1.23209352929488,0.241056046384318,-5.11123262733073
83,-1.48187570597165,0.380418663804924,-3.89538118648023
84,-1.21077469917862,0.324317390027102,-3.7333018099259
85,-1.36938129501596,0.371303361256251,-3.68803904813266
86,-1.71439139559807,0.420679523656834,-4.07529080734761
87,-1.95851593467342,0.45171538385193,-4.33572998548886
88,-0.873931375792774,0.289805677184518,-3.01557714218396
89,-2.824410347512,1.02474233113831,-2.75621515935092
90,-1.3176298315964,0.241851277590293,-5.44809952928394
91,-1.3834718282058,0.318998323963674,-4.33692506912149
92,-1.45367141634415,0.303929708704715,-4.78291978279912
93,-1.62504155115859,0.339872933078383,-4.78132087907047
94,-1.89180635198151,0.514974284352476,-3.67359382684565
95,-1.19432911550861,0.300861326492442,-3.96969969331906
96,-1.30753558483125,0.364638896377219,-3.58583683151182
97,-2.71005842310584,0.477995062024422,-5.6696368611594
98,0.959589676767188,0.171561456688855,5.59327074558191
99,0.479330428001101,0.182396924045959,2.6279523654704
100,0.114826601217747,0.208871264023712,0.549748198989743
101,0.26607570176074,0.222682133012661,1.19486776132871
102,1.89748560178174,0.180121396104871,10.5344819816797
103,2.9544034694882,0.235224175403293,12.5599482469132
104,2.84855107624381,0.30270143090211,9.41043148608372
105,0.289204410955192,0.492997108326942,0.586624964062466
106,-2.65590370077833,0.436788736239096,-6.08052241375681
107,-0.173360720190013,0.187636395225566,-0.923918411359418
108,-0.25184857323915,0.194480682366841,-1.29497989298546
109,-0.543433603747021,0.21421533591864,-2.53685667002581
110,-0.569058378101696,0.220774691777185,-2.57755258775772
111,-0.420871720459479,0.210833585244411,-1.9962271189933
112,-0.230810698197191,0.295969438578107,-0.779846389904474
113,-0.25366628640888,0.298306120864282,-0.850355620172769
114,-1.72975214189307,0.40969747097653,-4.22202299118453
115,-3.82155163993322,0.671555507487653,-5.69059682680584
116,-0.164036755989016,0.49869525563308,-0.328931855950336
117,-2.77239209307514,0.373193795796763,-7.42882685698492
118,-0.845910729939865,0.488895333647141,-1.7302491386641
119,-0.0158826701201227,1.79744936670654,-0.0088362267189893
120,-0.884632631959143,0.586913041704865,-1.5072635451914
121,1.0826501302421,2.24226576211551,0.482837560352639
122,-0.257017257990849,1.62711811488802,-0.157958574512298
123,-0.346845016339226,0.324776241095954,-1.06795070713548
124,-1.8062468605671,0.816428481963414,-2.2123760996472
125,0.579270919330555,0.527029423503149,1.099124438784
126,-0.317037083295984,0.396798547060816,-0.798987510524814
127,-1.62575456322762,0.578672667858841,-2.80945455613638
128,-1.09876826408413,0.405482607623441,-2.70977902239526
129,-1.5763904398783,0.563381591325433,-2.79808652634465
130,-1.59156735853422,0.854044788243806,-1.86356427724008
131,-2.26688149952379,0.499328777136858,-4.53985751136164
132,-0.828969006299635,0.514100931362355,-1.61246353727251
133,-2.58053654725592,1.06902600696454,-2.41391372187779
134,-2.58042436486876,0.696083743685485,-3.70706023273356
135,-2.65482228374338,2.35657972418754,-1.12655738165559
136,0.71930131952317,0.475707435413141,1.51206658962241
137,0.609878870432806,0.396847067141304,1.53681082948674
138,0.0770433001116518,0.39249795199722,0.196289686913316
139,0.271758947987181,2.34260486777687,0.116007164385806
140,-1.1788044580348,0.332652800962371,-3.543648075785
141,-1.69257062959365,0.303155089631674,-5.58318394604586
142,-1.8831902571098,0.340333449715634,-5.53336810908038
143,-1.65118004444522,0.480332743386993,-3.43757544572577
144,-1.50538320833976,0.522062934737603,-2.8835282265277
145,-2.30648052443363,0.454161234303757,-5.07854997349023
146,-1.8075991591619,0.301149186080535,-6.00233785349997
147,-1.69401546778627,0.539806325640934,-3.13819121288528
148,-2.20085317695831,0.397664397059604,-5.53444862862198
149,-2.27298995792643,0.485568645583523,-4.68108881947044
150,-1.919853219592,0.564541157006195,-3.40073207376612
151,-1.52392693270832,0.310204107706942,-4.91265877803274
152,-1.70499111617454,0.328302229197535,-5.19335832821492
153,-1.569078917183,0.319439666958673,-4.91197268054375
154,-1.1813803164131,0.475658776728724,-2.48367185514346
155,-1.67579449630523,0.356623204927709,-4.69906184776993
156,-1.86562342985731,0.306569448836696,-6.08548385018982
157,-1.77073296183242,0.341656416255604,-5.18278854891366
158,-2.05485493912363,0.59022007505005,-3.48150634989733
159,-2.01876256837681,0.334744627473369,-6.0307542009391
160,-2.01894585851239,0.572456253776409,-3.52681247727438
161,-2.74239285577614,0.439520984400557,-6.23950380780196
162,-2.59526165066744,0.322983961585202,-8.03526477887608
163,-2.59846312252973,0.353474081536348,-7.35121260160209
164,-2.11109311810668,0.297499719705651,-7.09611800708724
165,-2.02090497204946,0.369565579700514,-5.46832573987854
166,-1.62509491333548,0.321632336178172,-5.05264779233901
167,-1.66024964094412,0.323734948737997,-5.12842264147323
168,-1.90908882815423,0.397026225167581,-4.80847034058876
169,-2.31221388046107,0.404797152080892,-5.71203099768602
170,-2.4816856606139,1.20086102319305,-2.0665885666063
171,-2.52127078957858,1.20685879843672,-2.08911829026267
172,-2.36628885148538,1.29263623610381,-1.83059145751455
173,-2.08585959479343,1.34314647904142,-1.55296509155283
174,-1.56508860341746,1.2397477988652,-1.26242499067154
175,-1.41544633932988,1.11815804323374,-1.26587323491085
176,-1.5893501811479,1.13923653088597,-1.39510113840178
177,-1.822109533491,1.18757155661476,-1.53431557310536
178,-0.0138311886423513,0.297369103708133,-0.0465118550309336
179,-1.00909200078681,0.845647702760114,-1.19327705555543
180,-0.864560846250037,1.71319097111366,-0.504649429530923
181,-2.72352627721222,1.33538593939968,-2.03950498268431
182,-0.691904781532786,1.99443468681645,-0.34691774371274
183,0.964776129558524,2.03612922661293,0.473828535511675
