Observed_Outcome,Residuals,Standard_Errors,Z_Values
1,0.6400170640719762,0.26135201658709445,2.4488698133258646
2,0.20494380849409313,0.2005062057142113,1.0221319971822065
3,0.7771193408222066,0.31913622385553636,2.4350709281249934
4,0.14326606784914375,0.3053713137912244,0.46915365451481666
5,0.18858720302093201,0.20620670315728706,0.9145541834160671
6,0.3560383890160234,0.23222944787121483,1.5331319618581192
7,0.42199192828487664,0.2636191678820233,1.6007634485582227
8,-0.2064654883809826,0.05590587907852323,-3.6930908123453206
9,-0.25632364347408965,0.3046006372801681,-0.8415072462186812
10,0.019797270239424933,0.3261677588113709,0.060696588502709974
11,-0.013074968620712685,0.41208300954418087,-0.03172896799403439
12,-0.05371780974686044,0.18922915760347955,-0.28387702205715826
13,-0.008341129536767706,0.3293820098874741,-0.02532357349940655
14,-0.0064780831967626825,0.4127168066494905,-0.015696194321120408
15,-0.4758385450385452,0.6287556649716268,-0.756794048225423
16,-0.05178289140431806,0.7159278173144904,-0.07232976586740314
17,-0.19381793833451058,0.572715858789532,-0.338419017668126
18,-0.019737812967264956,0.3936705347990605,-0.05013789761364701
19,-0.15136823646869058,0.18405881728489593,-0.8223905743912004
20,0.007146970535131521,0.133185730548145,0.05366168361818595
21,0.06104574251119284,0.14352086468934924,0.4253440267610308
22,-0.11276804212822289,0.06302608706301271,-1.7892280384704633
23,-0.13166089759000257,0.11065854448835423,-1.1897942287128007
24,-0.08431679446996342,0.40327283681415665,-0.20908126402974117
25,-0.06959393329623774,0.19606133156828479,-0.35496001551942624
26,-0.008836931689527178,0.3168432321219297,-0.027890548995935287
27,8.493354563999496e-4,0.07047464585449584,0.012051645611011855
28,0.018027259833532896,0.07234399629957852,0.24918805644744182
29,-0.0068743296095084,0.06931465577545705,-0.09917570148191465
30,-3.2212590580468076e-4,0.06833541081529357,-0.004713894333281574
31,0.007332635198834131,0.06707747300399042,0.10931591293544876
32,-7.135130835515353e-4,0.07565914213691134,-0.009430626139804435
33,0.02168418646851397,0.06932540242853787,0.3127884687126988
34,-0.016343218436865734,0.07607645711623023,-0.21482622951140365
35,0.013744103715226776,0.07512351975290704,0.18295340474505553
36,0.0018238594994345785,0.06750153356814535,0.02701952686146491
37,-0.007130736015671378,0.07016261618746437,-0.10163155827341275
38,0.01537559738055373,0.07640976558559727,0.20122555360190672
39,0.02668191452277037,0.0691540444710657,0.38583303011198683
40,-0.016344318112516583,0.07682665015041344,-0.21274281880723947
41,0.002340651263799215,0.06909462705912343,0.03387602427894065
42,0.01553366573909264,0.06859615004177128,0.22645098492602708
43,-0.07595234586331645,0.07184662245728586,-1.0571456703962878
44,-0.07515123393741452,0.07557621147411225,-0.9943768346096138
45,0.020842114857814422,0.07306939961920804,0.285237253438929
46,-0.03101277929892014,0.07474848356023034,-0.4148950964862166
47,-0.008528619627695976,0.06794098901789163,-0.12552981272395142
48,0.008298833697568168,0.06656875424177842,0.1246656001316581
49,-0.004041124088131336,0.06431919587391334,-0.06282920725646603
50,-0.007797233381799668,0.06434350171952773,-0.12118136522609045
51,-0.012077944340716025,0.06437313987415504,-0.18762397429001532
52,-0.010102061055352163,0.0643386316828431,-0.15701392446687729
53,-0.006271233662814828,0.06437115002618864,-0.09742304837281067
54,-6.904704360730617e-6,0.06539917035000259,-1.0557785861469026e-4
55,0.007909662335379743,0.0642944922937705,0.12302239357050045
56,0.004874100049800103,0.06416207757764839,0.0759654336925345
57,0.004924413325298162,0.0641610801205056,0.07675078592893485
58,0.0032964496793840372,0.06416502916531754,0.05137455280961414
59,-0.0013554601254609647,0.06419784369633384,-0.021113795221417556
60,0.004924629017464369,0.06416249980437053,0.0767524493665211
61,0.00492404153178345,0.06416768998974613,0.07673708579146767
62,0.006601224680576824,0.06416544582936354,0.10287818615227258
63,0.0068657128756200786,0.06415769095709747,0.10701309185536634
64,0.00623199978380495,0.06415749519229658,0.09713595839622538
65,0.04707983249831707,0.06808296347586301,0.6915068042684124
66,-0.07720103937861081,0.09917172345342641,-0.7784581803185704
67,0.06022834690846781,0.09122544278184269,0.660214355467678
68,0.11872280185478457,0.11928179804295755,0.9953136505540294
69,0.1315653751244132,0.20402689519795703,0.6448432938057599
70,0.24884004520321265,0.08835835179952896,2.816259472197842
71,0.21826251395484536,0.10633612993748262,2.052571539731291
72,0.8484836583516084,0.6103836113246068,1.390082634280261
73,0.016054985599891304,0.06425301428786774,0.24987132164666098
74,0.0049512622084483225,0.06482429048581925,0.07637973622760197
75,0.0015540722383755017,0.0694112389789717,0.022389345893196227
76,0.02569714191540702,0.06450943263226346,0.39834704580171687
77,0.04186106007487334,0.06534110696626855,0.6406542836270518
78,0.0804774179273299,0.06936240431110234,1.1602455065769464
79,0.059708478464535725,0.06598327463242401,0.9049032318743867
80,0.07473126794494372,0.0678433664204952,1.1015265292373186
81,0.48069583172821284,0.2113311740948566,2.2746091947251053
82,0.028940478501622614,0.06428492480906464,0.45019074981544965
83,0.026179406849094457,0.06447307561567044,0.40605177586303093
84,0.05236440366038537,0.06625704811413848,0.7903220132925213
85,0.04162146660542969,0.06514964687823425,0.6388594351588871
86,0.04764777357416221,0.06582959314637558,0.7238047707239336
87,0.054589320974730925,0.06636025110451917,0.822620771713948
88,0.06781106574710831,0.06891433755126924,0.9839906782338269
89,0.024648587023116994,0.06423428977584734,0.38372942409935507
90,0.011471240872093825,0.0642115642383678,0.17864758487287422
91,0.013011300897421647,0.06416910886779632,0.20276580315659412
92,0.025655931826614853,0.06449787040980332,0.39777951835624165
93,0.03487044434750119,0.06468742482436492,0.5390606356981925
94,0.02219178366082744,0.06434706012099095,0.3448764188931167
95,0.011475959947275467,0.06417625855400028,0.17881939841692657
96,0.00937828073135779,0.0641635386751242,0.14616214948558767
97,0.01000847803516108,0.06416292725646855,0.15598537135245932
98,0.010162663155899549,0.06416203292755496,0.15839060410342926
99,-0.29829404420306405,0.07261794814626345,-4.107717882668002
100,-0.22568479202123418,0.07629169342726631,-2.9581830194448853
101,-0.052925119197034826,0.08595616936208617,-0.6157221708437278
102,-0.0864417251245139,0.07950363615572623,-1.087267567928564
103,-0.47032650271174237,0.07657102781946262,-6.142355876698785
104,-0.5154768887545972,0.08663689036115564,-5.949854462755688
105,-0.30108938366457577,0.08495207508354007,-3.5442263578434177
106,-0.00899214223968857,0.06948280992312414,-0.129415351072265
107,0.11812391001199267,0.06504914668143634,1.8159179026663965
108,0.029385700500102252,0.06507357252795935,0.4515765672382051
109,0.07244077306786358,0.06979675109677091,1.0378817341716495
110,0.16371568194455935,0.07889702256391919,2.075055263485051
111,0.11642237864694614,0.07362572648458718,1.5812730713267464
112,0.02836451103766907,0.06452330974301212,0.4396009930464075
113,0.010810919790407637,0.06433523447671909,0.1680404195048014
114,0.009939964374748728,0.06426647561193483,0.15466795526130878
115,0.04140910908230466,0.06467594339018976,0.6402552001829126
116,0.12368989567243517,0.06499004536493042,1.9032129455810483
117,0.006758117164346233,0.06416062531402993,0.10533122349211961
118,0.009638305499840467,0.0641613429060587,0.1502198218318515
119,0.007701185431003714,0.06415955263052654,0.12003178194449501
120,0.006548724127748459,0.06416150145085606,0.10206625436850784
121,0.007491081459841385,0.06416003317902765,0.11675619678903217
122,0.0060255330870648115,0.06416046743090167,0.09391348486595856
123,0.006705710752751909,0.06416548655958883,0.104506505168078
124,0.03847448048821829,0.06953632038236697,0.5533004950025319
125,0.04733167692371938,0.06810106574444191,0.6950210897042
126,-0.07157388518773034,0.10204226764486622,-0.701414098683363
127,0.06695687423014143,0.09472236131626637,0.7068750535745264
128,0.12161963048104273,0.07506918089661367,1.6201006728518723
129,0.1352197865636242,0.08941432001178826,1.5122833405856806
130,0.2565686096847183,0.11395037860037088,2.2515818976303357
131,0.21927220896490135,0.11928503554445846,1.8382205945956809
132,0.8647446940792815,0.6098571282176845,1.4179463583651293
133,0.012497075988278965,0.06428890886961151,0.1943892999276919
134,0.014103987386670576,0.06422087246740454,0.21961687602156274
135,0.014103939354261841,0.06426675211228368,0.2194593454733816
136,0.010633345054460173,0.06417365649370016,0.16569641867771762
137,-0.009750943495493741,0.06499213775667059,-0.15003266290456702
138,-0.037737571610508044,0.0679908749895629,-0.5550387697805189
139,9.54956265573027e-4,0.06757679608374975,0.014131422631956742
140,0.005921120343781664,0.06432445332668371,0.09205084594672187
141,0.28753933595599485,0.14012420856741686,2.0520318287303887
142,0.48304728344077646,0.18696741588046875,2.5835907351342775
143,0.6064286760665559,0.2536483733932248,2.390824226285987
144,0.3135715791251931,0.17532701055365577,1.7884955554479727
145,0.27512227509354914,0.14615561370202315,1.882392801240318
146,1.0546672172428646,0.6292290143103572,1.6761261691004397
147,0.30627482815571977,0.221666822216295,1.3816899845158928
148,1.0583844382820584,0.5259054136221823,2.012499607091735
149,0.8900086827239413,0.5326654678390921,1.6708586091276254
150,0.4215499511706355,0.25353820825793744,1.662668337317313
151,0.19866668980149718,0.08953459923195677,2.21888176755907
152,0.09262235696263485,0.06907118026882693,1.3409696577088461
153,0.42478279771585437,0.18162607934235586,2.3387764535464126
154,0.07489286095747756,0.07449540943799211,1.0053352484734819
155,0.24434240430063348,0.11527462731577376,2.1196546888961274
156,0.38037854910586166,0.14639191256239475,2.598357671867548
157,0.16097764188127156,0.08235053641986018,1.9547855895016268
158,0.07020931128525774,0.0672792634396148,1.0435505339364002
159,0.2586590376655329,0.11181523974373525,2.3132717709888464
160,0.07850682070424808,0.07093158066953117,1.1067964362730023
161,0.7300024389054496,0.2957290927326008,2.468483679302801
162,0.5221596824228593,0.2412444402177283,2.1644423471546075
163,0.7719429111218215,0.3454418333543286,2.234653816030497
164,0.8247449825677431,0.42704547879902516,1.9312813822245898
165,1.4111905434996677,1.0530105795389,1.3401484951059182
166,1.3300304143927133,1.0125306127806049,1.3135705702173217
167,0.24229897835841335,0.10624116548298607,2.280650605223417
168,0.23246128869703808,0.09955103220557028,2.3350967192084116
169,0.2666210771025061,0.11918014240273704,2.2371266867724686
170,0.15156462529693296,0.08248007180692886,1.8375908504507454
171,0.15243183380536077,0.08954448581561558,1.702302854463187
172,0.20597884160192123,0.1146805798664796,1.7961091742101274
173,0.27994074100072147,0.13628019428752378,2.0541557228052
174,0.19325271078685566,0.10586463923128948,1.8254698848464752
175,-0.8607871536676406,0.21642261097589233,-3.9773439096136083
176,-0.8571593756049364,0.21499157132757046,-3.9869440941893077
177,0.009260326876716025,0.15999202707996055,0.05787992717967074
178,-0.9759687658908779,0.8241916250342531,-1.1841527337168913
179,-0.6432885395717954,1.3493930070439781,-0.4767243762297265
180,-1.50523356923915,0.34025171314479125,-4.423882411427009
181,-0.366539184010003,1.1305172256920055,-0.32422255555251644
182,0.2519026839118638,0.8679961124579008,0.2902117651178784
