Observed_Outcome,Cooks_Distance
1,4.217539444007244e-5
2,9.752945776963732e-5
3,1.0194438450819907e-4
4,2.5554648524379997e-5
5,1.437220786625423e-4
6,1.2517140100171851e-5
7,2.0651730987051572e-6
8,1.4336613843338845e-5
9,1.0869088959233008e-5
10,1.2784092494930965e-5
11,3.966299658106789e-6
12,0.004825691011075382
13,3.9382028997665155e-7
14,3.901595107198949e-6
15,3.546322251981844e-5
16,4.738209729563605e-6
17,1.0301263948927785e-7
18,1.2018835268107845e-8
19,3.5419061857354316e-5
20,5.258847475796348e-4
21,1.556392252635011e-5
22,1.6527552176094588e-5
23,2.3609347780754147e-5
24,4.0492079535932824e-5
25,1.1552840316274447e-5
26,0.004457223046992205
27,3.6929777523993493e-7
28,2.5216951707301146e-5
29,1.932921271503577e-5
30,1.3052154132544372e-5
31,1.5639567535070075e-4
32,1.2719980217424067e-4
33,1.9094438404166595e-4
34,8.336254757713001e-4
35,6.693680953689781e-6
36,2.1587840521827903e-6
37,1.3778450212216146e-5
38,1.5884490283112476e-6
39,1.3437447607483978e-5
40,1.2764085288759576e-6
41,1.622779471213797e-7
42,2.306657796978429e-5
43,2.7149796283621736e-5
44,1.360315226567442e-6
45,1.5532325199140305e-7
46,1.8330300256519913e-5
47,1.5128247768113826e-5
48,1.3592191225919023e-4
49,8.177514929051225e-6
50,1.3407144590717541e-5
51,2.95704713930058e-5
52,1.3410722443942621e-5
53,1.715497533705195e-10
54,3.4016334006423764e-10
55,5.939067142245812e-10
56,5.04510692933132e-10
57,3.700673060091264e-10
58,1.0268759310294864e-9
59,2.684223759165212e-11
60,1.916748978055213e-8
61,2.9152821234318545e-8
62,2.0609450523692483e-8
63,8.765157005266221e-10
64,1.6586649556154103e-8
65,4.508057819721993e-9
66,8.459922640728475e-10
67,7.450503620201544e-8
68,1.1486975877887345e-7
69,2.3622395298363996e-11
70,1.311662001083742e-9
71,6.394876665240076e-11
72,1.7960759823707094e-11
73,1.6606264420229105e-10
74,1.0350902852817453e-9
75,1.5622877577247242e-10
76,6.805958225568523e-12
77,4.02243927245852e-13
78,1.8904840943473122e-10
79,4.768601400903832e-10
80,1.0112355457200719e-10
81,1.6206630505536226e-10
82,3.0862128396344297e-10
83,5.034485796027294e-10
84,3.2278526348570054e-10
85,1.8010895453736834e-10
86,9.299139375465696e-11
87,1.2156018421509296e-10
88,2.476539829681549e-10
89,1.8827838383087146e-11
90,1.6650932780349063e-10
91,1.956048077063756e-10
92,1.3028707105545031e-14
93,5.777939835147909e-11
94,2.528382815028572e-11
95,1.2997523922860814e-8
96,4.571229832451835e-12
97,2.9674450497569336e-10
98,6.681561160464437e-11
99,1.0941980447384913e-9
100,9.42010803922354e-9
101,1.6644443275671474e-8
102,3.367058022472907e-8
103,2.0588147795533188e-8
104,1.062349349633806e-8
105,2.0049224730620135e-9
106,1.995067694003099e-9
107,2.7664967657734295e-8
108,2.2398470785059935e-8
109,1.0790053007295028e-8
110,5.859431899240772e-10
111,7.613736177056399e-9
112,3.1104500835020166e-11
113,1.5979192072570036e-10
114,7.141009032614707e-10
115,7.038848801294323e-11
116,1.7245603376204944e-10
117,2.9843423616298903e-12
118,2.570337090545748e-13
119,5.572009692543591e-10
120,8.43342293416788e-9
121,7.462351979837562e-10
122,3.1046641061110093e-8
123,1.0649643083136649e-8
124,1.0100864425501778e-9
125,2.992309703140615e-9
126,9.538874406189966e-9
127,7.709326720094725e-10
128,2.260103986705994e-10
129,6.133059439034434e-11
130,1.0648937759563174e-9
131,3.87348086182413e-10
132,4.113839724161352e-10
133,4.2773265181776625e-11
134,1.9507217742567075e-11
135,9.881475452912563e-11
136,1.104238532224618e-13
137,4.7791335843657364e-12
138,1.348549499569072e-11
139,2.5061496168645878e-12
140,1.0358776390745811e-9
141,9.202996432936035e-10
142,1.612591885107415e-9
143,3.78752310490321e-10
144,3.294702731440053e-10
145,8.019200664414137e-13
146,3.18865199044953e-10
147,2.134888419720013e-10
148,4.650017839068963e-11
149,8.146605152284306e-11
150,7.714506036183257e-11
151,1.0352798032978794e-11
152,3.910858440964525e-14
153,3.859126951091409e-11
154,1.5446140018104396e-11
155,7.330317189473565e-11
156,4.887205628416439e-10
157,1.3131120937841034e-10
158,2.2100054667895145e-10
159,5.3679758824865345e-11
160,1.5321671931214722e-10
161,3.042528696740671e-10
162,6.959595456874364e-11
163,3.333723609217087e-10
164,3.2727800679008433e-10
165,7.830957554683702e-14
166,5.993121022802619e-11
167,6.873489931374529e-11
168,2.2218404897112535e-10
169,2.2765683526416533e-10
170,1.32996397445766e-10
171,5.203717587363759e-13
172,2.6206484606135262e-11
173,1.825553528059904e-10
174,1.3831038555051596e-12
175,3.7095524899652744e-11
176,3.533300988981649e-10
177,1.2704208316700499e-11
178,3.3735508972090374e-11
179,1.0284278633631985e-10
180,9.392354779055953e-11
181,4.319603661794737e-13
182,2.4141835425253506e-12
183,0.016328082586671393
184,0.01682935878593543
185,0.04633996589318985
186,1.0849986175580297e-5
187,5.63859243715759e-5
188,0.0030955195343356965
189,9.369131400068656e-5
190,7.966168149072999e-4
