Entry ID;Source ID;MC species;MC variety;MC latin;CC species;CC variety;CC latin;Location ;Year;Intercropping design;Width;Distance to the CC;Relative density  ;Density design;RSD;RHD;SH period;System;Fertilizer type;Fertilizer detail;N dose;N unit;Pest management type;AES;Sub-category;Metric;Unit;Treatment value;Treatment MV;Control value;Control MV;MV metric;n_Treatment;n_Control;Relationship;Comment;Entered by;Reviewed by
1;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Green onion;;Allium fistulosum L. ‘Todo Ano’;Fortaleza, Brazil;2015;Row;0,1;0,1;100%;Additive;-8;-8;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;133,9;78,382;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
2;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Coriander;;Coriandrum sativum L. ‘Verdao’;Fortaleza, Brazil;2015;Row;0,1;0,1;100%;Additive;-8;-7;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;251,4;78,382;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
3;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Basil;;Ocimum basilicum L. ‘Italiano’;Fortaleza, Brazil;2015;Row;0,3;0,3;100%;Additive;-3;-3;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;82,2;78,835;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
4;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Parsley;;Petroselinum crispum (Mill.) Nym. ‘Grauda Portuguesa’;Fortaleza, Brazil;2015;Row;0,1;0,1;100%;Additive;-8;-23;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;526,1;77,023;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
5;Filho,2017;Cabbage;Kale;Brassica oleracea L. var. acephala ‘Top Bunch’;New Zealand Spinach;;Tetragonia expansa ‘Nova Zelandia’;Jaboticabal, Brazil;2014;Row;0,25;0,25;100%;Additive;Variable (from 0 to +98);later;Broadly variable;Conventional;Synthetic;Urea;200;kgN/ha;unspecified product;Productivity;Harvested biomass;per unit of area;t/ha;67,09;NA;68,06;NA;;32;32;Positive;n=32 because is the mean of 8 DAT treatments * 4 reps;TLN;JCR
6;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_1 ‘;Pure, Latvia;2014;Row;0,25;0,25;100%;Additive;-44;-2;+137;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;1,63;0,4;1,69;0,4;LSD;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
7;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_2’;Pure, Latvia;2014;Row;0,25;0,25;100%;Additive;-44;-2;+137;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;1,27;0,4;1,69;0,4;LSD;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
8;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_1 ‘;Pure, Latvia;2015;Row;0,25;0,25;100%;Additive;-42;-7;+142;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;2,91;NA;2,22;NA;;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
9;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_2’;Pure, Latvia;2015;Row;0,25;0,25;100%;Additive;-42;-7;+142;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;2,31;NA;2,22;NA;;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
10;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;532,3;NA;564,8;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
11;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;533,5;NA;564,8;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
12;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;541,5;NA;564,8;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
13;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;486;NA;564,8;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
14;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;509,9;NA;543,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
15;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;513,9;NA;543,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
16;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;516,8;NA;543,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
17;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;460;NA;543,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
18;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;262,9;NA;278,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
19;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;263,5;NA;278,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
20;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;267,4;NA;278,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
21;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;240;NA;278,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
22;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;251,8;NA;268,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
23;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;253,8;NA;268,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
24;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;255,2;NA;268,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
25;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per unit of area;q/ha;227,1;NA;268,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
26;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,41;NA;12,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
27;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,42;NA;12,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
28;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,58;NA;12,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
29;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,12;NA;12,9;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
30;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,22;NA;12,81;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
31;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,3;NA;12,81;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
32;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;12,32;NA;12,81;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
33;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin A;mg/100g;11,96;NA;12,81;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
34;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;78,91;NA;89,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
35;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;81,11;NA;89,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
36;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;81,13;NA;89,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
37;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;78,53;NA;89,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
38;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;76,04;NA;85,7;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
39;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;77,24;NA;85,7;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
40;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;77,79;NA;85,7;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
41;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Nutrient quality;Vitamin C;mg/100g;75,04;NA;85,7;NA;;9;9;Positive;n=3reps* across3manure tr=9;TLN;JCR
42;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);10,7;NA;14,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
43;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);12,4;NA;14,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
44;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);12,1;NA;14,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
45;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);10,3;NA;14,1;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
46;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);9,7;NA;13,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
47;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Coriander;;Coriandrum sativum ‘Hisar Bhumit ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);11;NA;13,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
48;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Fenugreek;;Trigonella foenum-graecum ‘Hisar Suwarna ‘;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);11,2;NA;13,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
49;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Radish;;Raphanus raphanistrum ‘HS-1’;Hisar, India;2013-2014;Row;0,6;0,6;100%;Additive;+5;-5;+55;Organic;Organic;Mixed;NA;NA;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);9,5;NA;13,2;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
50;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + white clover + black medick;Lolium multiflorum Lam. + Trifolium repens L. + Medicago lupulina L.;Aarhus, Denmark;2012;Strip;1,06;0,53;67%;Replacement;-426;later;+82;Organic;Organic;Poultry manure;180;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/m row;1,12;NA;1,13;NA;;3;3;Positive;Low N input;TLN;JCR
51;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + white clover + black medick;Lolium multiflorum Lam. + Trifolium repens L. + Medicago lupulina L.;Aarhus, Denmark;2012;Strip;1,06;0,53;67%;Replacement;-426;later;+82;Organic;Organic;Poultry manure;230;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/m row;1,25;NA;1,18;NA;;3;3;Positive;High N input;TLN;JCR
52;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + red clover + black medick;Lolium multiflorum Lam. + Trifolium pratense L. + Medicago lupulina L.;Aarhus, Denmark;2013;Strip;1,06;0,53;67%;Replacement;-422;later;+70;Organic;Organic;Poultry manure;180;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/m row;1,29;NA;1,11;NA;;3;3;Positive;Low N input;TLN;JCR
53;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + red clover + black medick;Lolium multiflorum Lam. + Trifolium pratense L. + Medicago lupulina L.;Aarhus, Denmark;2013;Strip;1,06;0,53;67%;Replacement;-422;later;+70;Organic;Organic;Poultry manure;230;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/m row;1,27;NA;1,28;NA;;3;3;Positive;High N input;TLN;JCR
54;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + white clover + black medick;Lolium multiflorum Lam. + Trifolium repens L. + Medicago lupulina L.;Aarhus, Denmark;2012;Strip;1,06;0,53;67%;Replacement;-426;later;+82;Organic;Organic;Poultry manure;180;kgN/ha;No insecticide;Productivity;Saleable biomass;per unit of area;kg/m row;1,07;NA;0,97;NA;;3;3;Positive;Low N input;JCR;JCR
55;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + white clover + black medick;Lolium multiflorum Lam. + Trifolium repens L. + Medicago lupulina L.;Aarhus, Denmark;2012;Strip;1,06;0,53;67%;Replacement;-426;later;+82;Organic;Organic;Poultry manure;230;kgN/ha;No insecticide;Productivity;Saleable biomass;per unit of area;kg/m row;1,24;NA;1,1;NA;;3;3;Positive;High N input;JCR;JCR
56;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + red clover + black medick;Lolium multiflorum Lam. + Trifolium pratense L. + Medicago lupulina L.;Aarhus, Denmark;2013;Strip;1,06;0,53;67%;Replacement;-422;later;+70;Organic;Organic;Poultry manure;180;kgN/ha;No insecticide;Productivity;Saleable biomass;per unit of area;kg/m row;0,7;NA;0,66;NA;;3;3;Positive;Low N input;JCR;JCR
57;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + red clover + black medick;Lolium multiflorum Lam. + Trifolium pratense L. + Medicago lupulina L.;Aarhus, Denmark;2013;Strip;1,06;0,53;67%;Replacement;-422;later;+70;Organic;Organic;Poultry manure;230;kgN/ha;No insecticide;Productivity;Saleable biomass;per unit of area;kg/m row;0,85;NA;1,01;NA;;3;3;Positive;High N input;JCR;JCR
58;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + white clover + black medick;Lolium multiflorum Lam. + Trifolium repens L. + Medicago lupulina L.;Aarhus, Denmark;2012;Strip;1,06;0,53;67%;Replacement;-426;later;+82;Organic;Organic;Poultry manure;180;kgN/ha;No insecticide;Product quality;Nutrient quality;N;%;2,84;NA;2,88;NA;;3;3;Positive;Low N input;TLN;JCR
59;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + white clover + black medick;Lolium multiflorum Lam. + Trifolium repens L. + Medicago lupulina L.;Aarhus, Denmark;2012;Strip;1,06;0,53;67%;Replacement;-426;later;+82;Organic;Organic;Poultry manure;230;kgN/ha;No insecticide;Product quality;Nutrient quality;N;%;3,03;NA;2,96;NA;;3;3;Positive;High N input;TLN;JCR
60;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + red clover + black medick;Lolium multiflorum Lam. + Trifolium pratense L. + Medicago lupulina L.;Aarhus, Denmark;2013;Strip;1,06;0,53;67%;Replacement;-422;later;+70;Organic;Organic;Poultry manure;180;kgN/ha;No insecticide;Product quality;Nutrient quality;N;%;1,17;NA;1,13;NA;;3;3;Positive;Low N input;TLN;JCR
61;Xie,2016;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis ‘Chambord’;Grass and clover;Italian ryegrass + red clover + black medick;Lolium multiflorum Lam. + Trifolium pratense L. + Medicago lupulina L.;Aarhus, Denmark;2013;Strip;1,06;0,53;67%;Replacement;-422;later;+70;Organic;Organic;Poultry manure;230;kgN/ha;No insecticide;Product quality;Nutrient quality;N;%;1,25;NA;1,26;NA;;3;3;Positive;High N input;TLN;JCR
62;Anjum,2015;Cabbage;Cauliflower;Brassica oleracea var. botrytis ‘Hybrid RS 5340’;Pea;;Pisum sativum ‘Early 6 ‘;Multan, Pakistan;2010-2012;Mixed;NR;NR;100%;Additive;0;0;+222;Conventional;Synthetic;NA;90;kgN/ha;NA;Productivity;Harvested biomass;per unit of area;t/ha;20,6;NA;28,61;NA;;6;6;Positive;;TLN;JCR
